group1,group2,mean_difference,p_adj,ci_lower,ci_upper,reject_h0
About the right weight,Slightly overweight,25.2751,< 0.0001,23.9864,26.5637,Yes
About the right weight,Slightly underweight,-23.1807,< 0.0001,-24.9584,-21.4030,Yes
About the right weight,Very overweight,32.5847,< 0.0001,29.8399,35.3295,Yes
About the right weight,Very underweight,-14.2102,< 0.0001,-18.5527,-9.8677,Yes
Slightly overweight,Slightly underweight,-48.4557,< 0.0001,-50.4020,-46.5095,Yes
Slightly overweight,Very overweight,7.3096,< 0.0001,4.4527,10.1665,Yes
Slightly overweight,Very underweight,-39.4853,< 0.0001,-43.8994,-35.0711,Yes
Slightly underweight,Very overweight,55.7654,< 0.0001,52.6571,58.8736,Yes
Slightly underweight,Very underweight,8.9705,< 0.0001,4.3896,13.5514,Yes
Very overweight,Very underweight,-46.7949,< 0.0001,-51.8306,-41.7592,Yes
